url,label
http://192.252.93.177/g327ij8y,1
http://uh8gt.5mcbw.microsoft.com/nk7t5bkp7a,1
http://4m29mn.com:2021/3ucd98,1
http://0v97q9n5j67h6rxtm2eg.com/t1k19uvgxf3nymoohplo0aztrh0iw3hlcf04ynslyhl6weutv3,1
http://4vnur.com/%53%77/u9maq5,1
http://ez1bt5o5edpk4ke63120.com/z7zgogdb8pvf5r5r7ikaxyrgxkpwrf1ao3wsedplc9uybjmwci,1
http://bnzyg2p2at0x2tcatgta.com/nj0zcv4jp6ajlmtro68591moy5at9ho0u1zja4wmg2e8baiy6i,1
http://9a8uz.com/%61%22/1t6qk6,1
https://www.google.com/wb0z3q,0
http://fywq16f25eivkmjd8y4s.com/4exc1fie8pwb5nql3m1zk9sa1pun2hd8equwb6r5pjujlkmd2o,1
http://38.2.238.130/m0ufz8zj,1
https://www.microsoft.com/page?id=mwrjn&token=pxezqzi5uz,0
http://ydiwa9.com:3361/q00o72,1
http://goo.gl/7kpnqy5,1
https://www.wikipedia.org/el7l5u,0
http://bank-d9fic.online/wqr2f4lynd6a,1
ftp://yilemy.com/file/9fxx99zo,0
http://gbqcfx.com:6163/djy9qp,1
http://oyl9hp.com:3488/rtrq1s,1
https://www.google.com/57t2uw,0
ftp://gz9iz1.com/file/q603haq7,0
http://bank-pmkke.online/iclmttqfgpuc,1
http://h82zjf.com:5427/1of98v,1
https://www.google.com/page?id=7wlm3&token=9ct7993rmd,0
https://www.wikipedia.org/hphm2k,0
http://s10k8q.com:7329/2fsqd5,1
ftp://2o2k2i.com/file/aej0srh1,0
http://tx3rf6.com:3930/3iowpa,1
ftp://eyhn9b.com/file/qbkwpy4u,0
http://l2ipkz.com:3928/u18fpv,1
http://avv9xc.com:5762/qescsc,1
http://b89vj.su16h.amazon.in/2r78behbq5,1
http://lavfmve2vgbvlnc62f0p.com/0k1aceqn7lazyyjjg5qthseier0w2cclum5ivqc2u5a4ortb3w,1
https://www.microsoft.com/rwr8vf,0
http://goo.gl/gponhhv,1
http://groekl1ssyywudordwkb.com/piyao1lud5a97qkeqjvrnb6eobaqkw6xvcgue7qkjmjvzul7qm,1
https://www.linkedin.com/page?id=xrc8y&token=1xdycpntlp,0
http://75hoqysfroqdxqkhei28.com/5pu4sozszvp8f7p4fnngq6ra537ab4cvhpfjrrai4qr8lwu61g,1
http://moxvyqs4jjy37pnmb5t7.com/52jtt0g4mol5i9vj29bo53dgnkh33qxdzyec8kc2onmhtxxlfb,1
http://pnm12m.com:2558/592cgm,1
http://login-xcz52.online/384x34us1jzr,1
https://www.linkedin.com/page?id=t6de0&token=2ue1zwj6qr,0
http://goo.gl/84wadin,1
https://www.wikipedia.org/zushlz,0
ftp://pbap17.com/file/zxyvjg0q,0
http://111.238.182.64/91gy3mfx,1
http://bynfoa.com:2741/dyvqlf,1
http://gkieg.es6pn.github.com/7anc6ardv5,1
http://63.78.18.79/7m5n9gkw,1
http://bit.ly/kxwfsa5,1
http://umrx8u.com:2806/cec1sn,1
